  73,  0.500, 4153,  0.091,  6.2, 8.2,  0.7,  2, 2, 17,14,  43.0,237.0, -7,200402_15:44:45.929
  37,  2.250, 2745, -1.527,  3.4, 8.2,  0.8,  2, 4, 10,13,  24.0,179.0, -7,200402_15:44:47.689
  35,  2.375, 2560,  0.132,  3.3, 8.2,  0.8,  2, 4, 10,13,  23.0,179.0, -7,200402_15:44:47.814
  34,  2.750, 2362,  0.139,  3.2, 8.1,  0.8,  2, 4, 10,13,  24.0,179.0, -7,200402_15:44:48.158
  28,  3.000, 2209,  0.137,  3.1, 8.1,  0.8,  2, 4,  9,12,  24.0,179.0, -7,200402_15:44:48.409
  27,  3.250, 1992,  0.139,  3.0, 8.1,  0.8,  2, 4,  9,12,  23.0,179.0, -7,200402_15:44:48.658
  26,  3.500, 1846,  0.139,  2.9, 8.1,  0.8,  2, 4,  9,12,  24.0,180.0, -7,200402_15:44:48.908
  24,  3.750, 1710,  0.142,  2.9, 8.1,  0.8,  2, 5,  9,12,  24.0,181.0, -7,200402_15:44:49.158
  23,  4.000, 1510,  0.140,  2.9, 8.1,  0.8,  2, 5,  8,12,  24.0,181.0, -7,200402_15:44:49.409
  23,  4.250, 1341,  0.123,  2.9, 8.0,  0.8,  2, 5,  8,12,  24.0,182.0, -7,200402_15:44:49.671
  19,  4.500, 1111,  0.130,  3.0, 7.8,  0.8,  2, 5,  8,10,  25.0,182.0, -7,200402_15:44:49.909
  16,  4.750, 1006,  0.142,  2.8, 7.5,  0.8,  2, 5,  7,10,  24.0,183.0, -7,200402_15:44:50.163
  14,  5.000,  840,  0.140,  2.9, 7.6,  0.8,  2, 6,  7,10,  25.0,182.0, -7,200402_15:44:50.408
  12,  5.250,  629,  0.143,  2.9, 7.4,  0.8,  2, 6,  7, 9,  25.0,182.0, -7,200402_15:44:50.657
  11,  5.500,  563,  0.142,  2.7, 7.4,  0.8,  2, 6,  6, 9,  26.0,183.0, -7,200402_15:44:50.909
  10,  5.750,  444,  0.141,  2.3, 7.2,  0.8,  2, 6,  6, 9,  25.0,183.0, -7,200402_15:44:51.158
   5,  6.000,  254,  0.133,  2.0, 6.6,  0.8,  2, 6,  5, 8,  25.0,182.0, -7,200402_15:44:51.423
   1,  6.250,  161,  0.143,  1.2, 7.0,  0.8,  2, 7,  3, 8,  25.0,182.0, -7,200402_15:44:51.658
   0,  6.500,    0,  0.143,  0.0, 0.0,  0.8,  0, 0,  0, 0,  25.0,182.0, -7,200402_15:44:51.909
