 173,  0.500, 1020,  0.250, 61.4,16.8,  0.7, 39, 4, 87,29,  24.0,175.0, -7,200326_16:04:27.834
 141,  1.000,  660, -0.001, 61.2,17.7,  0.6, 48,14, 73,24,  20.0,186.0, -7,200326_16:04:28.338
 118,  1.250,  708,  0.001, 63.9,18.1,  0.6, 50,14, 74,24,  11.0,174.0, -7,200326_16:04:28.569
 126,  1.500,  811,  0.012, 63.8,16.8,  1.0, 51,11, 74,24,   9.0,159.0, -7,200326_16:04:28.818
 189,  1.750, 1250,  0.015, 64.3,15.5,  1.0, 50, 7, 75,24,   9.0,156.0, -7,200326_16:04:29.068
 197,  2.000, 1416,  0.017, 64.8,14.6,  1.0, 50, 6, 76,23,   7.0,156.0, -7,200326_16:04:29.317
 176,  2.250, 1116,  0.027, 62.8,14.9,  1.0, 49, 7, 74,23,   7.0,156.0, -7,200326_16:04:29.560
 156,  2.500,  915,  0.018, 60.9,14.8,  1.0, 47, 7, 72,22,   8.0,156.0, -7,200326_16:04:29.812
 170,  2.750, 1000,  0.014, 62.5,14.0,  1.0, 48, 6, 73,21,   7.0,156.0, -7,200326_16:04:30.081
 166,  3.000,  928,  0.004, 60.3,11.8,  1.0, 49, 2, 71,20,  10.0,160.0, -7,200326_16:04:30.322
 117,  3.250,  736,  0.015, 59.1,12.9,  1.0, 49, 2, 70,20,   9.0,162.0, -7,200326_16:04:30.564
  90,  3.500,  650,  0.017, 58.5,12.9,  1.0, 49, 2, 69,20,   8.0,162.0, -7,200326_16:04:30.818
  70,  3.750,  662,  0.015, 57.4,12.1,  1.0, 50, 2, 65,20,   9.0,160.0, -7,200326_16:04:31.066
  62,  4.000,  550,  0.018, 57.2,12.8,  1.0, 50, 2, 65,20,   7.0,160.0, -7,200326_16:04:31.318
  35,  4.250,  568,  0.015, 53.3,12.0,  1.0, 48, 3, 59,20,  13.0,160.0, -7,200326_16:04:31.570
  39,  4.500,  535,  0.018, 51.4,12.2,  1.0, 47, 3, 58,20,  14.0,160.0, -7,200326_16:04:31.818
  36,  4.750,  602,  0.017, 51.5,11.8,  1.0, 47, 3, 59,20,  16.0,160.0, -7,200326_16:04:32.070
  38,  5.000,  544,  0.019, 51.4,11.7,  1.0, 47, 3, 58,20,  14.0,159.0, -7,200326_16:04:32.313
  38,  5.250,  547,  0.008, 53.2,11.6,  1.0, 49, 3, 60,20,  12.0,160.0, -7,200326_16:04:32.570
  44,  5.500,  491,  0.019, 51.5,11.6,  1.0, 46, 3, 59,20,  14.0,160.0, -7,200326_16:04:32.819
  54,  5.750,  843,  0.022, 53.5, 9.9,  1.0, 46, 2, 63,19,  17.0,161.0, -7,200326_16:04:33.068
  66,  6.000,  749,  0.020, 51.9,10.0,  0.7, 45, 2, 62,20,  18.0,165.0, -7,200326_16:04:33.317
  58,  6.250,  889,  0.023, 53.6, 9.6,  0.7, 46, 2, 63,19,  19.0,167.0, -7,200326_16:04:33.568
  32,  6.500,  761,  0.022, 50.2, 7.8,  1.0, 48, 2, 65,18,  18.0,167.0, -7,200326_16:04:33.817
  36,  6.750,  835,  0.022, 54.2, 8.3,  1.0, 45, 2, 65,15,  21.0,167.0, -7,200326_16:04:34.068
  43,  7.000, 1084,  0.012, 56.8, 7.0,  0.6, 47, 2, 67,17,  23.0,181.0, -7,200326_16:04:34.321
  35,  7.250, 1074,  0.024, 57.5, 6.6,  0.6, 48, 2, 67,16,  24.0,180.0, -7,200326_16:04:34.564
  40,  7.500, 1045,  0.023, 57.5, 6.3,  0.6, 46, 2, 67,17,  26.0,181.0, -7,200326_16:04:34.821
  30,  7.750,  906,  0.025, 55.8, 6.8,  0.6, 48, 2, 66,15,  26.0,180.0, -7,200326_16:04:35.066
  52,  8.000, 1705,  0.015, 64.2,10.6,  0.6, 36, 2, 86,22,  27.0,188.0, -7,200326_16:04:35.320
  43,  8.250, 2142,  0.013, 68.0, 9.9,  0.5, 36, 2, 90,22,  31.0,192.0, -7,200326_16:04:35.569
  41,  8.500, 1999,  0.027, 68.1, 9.7,  0.5, 49, 2, 87,22,  30.0,192.0, -7,200326_16:04:35.818
   4,  8.750,  178,  0.015, 49.3,14.5,  0.5, 47,11, 51,18,  22.0,192.0, -7,200326_16:04:36.069
   0,  9.000,    0,  0.008,  0.0, 0.0,  0.5,  0, 0,  0, 0,  12.0,188.0, -7,200326_16:04:36.318
