 317,  0.000,  774,  0.250, 71.2,13.4,  0.7, 43, 2, 94,26,  35.0,130.0, -6,200402_16:47:34.535
  15,  0.375,  655,  0.091, 67.0,21.4,  0.6, 49,20, 89,25,  24.0,139.0, -6,200402_16:47:34.911
   0,  0.625,    0,  0.096,  0.0, 0.0,  0.7,  0, 0,  0, 0,  20.0,119.0, -6,200402_16:47:35.170
  30,  3.375,  974,  0.127, 74.2,18.6,  1.0, 16,10, 90,30,  14.0,157.0, -6,200402_16:47:37.935
  88,  3.625, 1034,  0.128, 46.0,21.3,  1.0,  8, 8, 85,30,  14.0,178.0, -6,200402_16:47:38.162
 113,  3.875, 1028,  0.128, 44.2,20.7,  1.0,  5, 6, 84,30,  15.0,170.0, -6,200402_16:47:38.413
  73,  4.125,  927,  0.126, 54.6,19.3,  1.0,  9, 7, 86,30,  14.0,169.0, -6,200402_16:47:38.662
  67,  4.375,  895,  0.130, 57.4,18.8,  1.0, 10, 7, 87,30,  13.0,160.0, -6,200402_16:47:38.913
  49,  4.625, 1039,  0.129, 65.7,17.5,  1.0, 12, 7, 88,30,  13.0,180.0, -6,200402_16:47:39.161
  44,  4.875, 1106,  0.127, 71.8,16.9,  1.0, 12, 8, 89,30,  13.0,167.0, -6,200402_16:47:39.413
  45,  5.125,  971,  0.129, 76.2,18.2,  1.0, 15, 9, 92,30,  14.0,155.0, -6,200402_16:47:39.663
  83,  5.500,  689,  0.127, 79.9,12.9,  1.0, 72, 4, 94,25,  25.0,144.0, -6,200402_16:47:40.055
  63,  5.625,  694,  0.133, 82.1,15.3,  1.0, 73, 6, 94,28,  23.0,104.0, -6,200402_16:47:40.162
  48,  5.875,  623,  0.129, 84.2,17.1,  1.0, 76, 9, 94,29,  24.0,104.0, -6,200402_16:47:40.414
  65,  6.125,  783,  0.134, 79.7,14.6,  1.0, 72, 5, 94,27,  22.0,125.0, -6,200402_16:47:40.663
  91,  6.375,  804,  0.131, 78.9,13.5,  1.0, 71, 3, 94,27,  22.0,152.0, -6,200402_16:47:40.913
 103,  6.625,  706,  0.138, 81.1,13.6,  1.0, 72, 3, 94,28,  22.0,144.0, -6,200402_16:47:41.164
 104,  6.875,  543,  0.131, 83.5,14.1,  1.0, 73, 4, 94,28,  20.0,120.0, -6,200402_16:47:41.413
  67,  7.125, 1208,  0.137, 80.3,17.6,  1.0, 37, 7, 94,30,  21.0,164.0, -6,200402_16:47:41.666
 128,  7.375,  839,  0.135, 68.4,16.2,  1.0, 52, 7, 94,29,  21.0,109.0, -6,200402_16:47:41.913
  91,  7.625,  757,  0.139, 69.5,16.9,  1.0, 56, 9, 94,28,  19.0,101.0, -6,200402_16:47:42.163
  91,  7.875,  808,  0.138, 67.1,16.9,  1.0, 50, 9, 94,29,  20.0,112.0, -6,200402_16:47:42.412
  97,  8.125,  794,  0.138, 65.6,16.6,  1.0, 49, 8, 94,28,  21.0,122.0, -6,200402_16:47:42.663
  89,  8.375,  754,  0.142, 65.2,16.6,  1.0, 49, 7, 94,28,  21.0,127.0, -6,200402_16:47:42.913
  82,  8.625,  656,  0.142, 64.5,16.8,  1.0, 49, 8, 94,28,  22.0,126.0, -6,200402_16:47:43.162
  69,  8.875, 1094,  0.143, 62.1,17.2,  1.0, 49, 9, 94,28,  23.0,165.0, -6,200402_16:47:43.412
  76,  9.125,  505,  0.139, 60.1,16.9,  0.7, 39,12, 89,22,  34.0,123.0, -6,200402_16:47:43.663
  40,  9.375,  526,  0.142, 58.8,17.6,  0.7, 43,14, 75,21,  34.0,117.0, -6,200402_16:47:43.913
  17,  9.625,  283,  0.144, 55.8,17.5,  1.0, 45,16, 52,20,  32.0,116.0, -6,200402_16:47:44.163
   6,  9.875,  339,  0.143, 59.1,17.9,  1.0, 47,18, 52,20,  32.0,116.0, -6,200402_16:47:44.410
   9, 10.125,  311,  0.141, 57.8,17.4,  1.0, 46,14, 74,20,  32.0,116.0, -6,200402_16:47:44.663
   4, 10.375,  272,  0.141, 57.4,17.6,  1.0, 48,19, 52,20,  32.0,115.0, -6,200402_16:47:44.911
   6, 10.750,  216,  0.150, 51.4,18.5,  1.0, 47,17, 51,20,  30.0,115.0, -6,200402_16:47:45.292
   0, 11.000,    0,  0.158,  0.0, 0.0,  1.0,  0, 0,  0, 0,  31.0,115.0, -6,200402_16:47:45.534
